year	month	month_num	total_hours	n_periods	days_in_month	percent_of_total
2020	Mar	3	99.92972222222222	193	31	13.431414277180407
2020	Apr	4	44.408611111111114	78	30	6.167862654320988
2020	May	5	32.5925	28	31	4.380712365591398
2020	Jun	6	5.238611111111111	5	30	0.7275848765432098
2020	Jul	7	0.0033333333333333335	1	31	4.4802867383512545e-4
2020	Aug	8	0	0	31	0
2020	Sep	9	0	0	30	0
2020	Oct	10	47.45361111111111	125	31	6.3781735364396654
2020	Nov	11	69.59166666666667	205	30	9.66550925925926
2020	Dec	12	125.35083333333333	283	31	16.84823028673835
2021	Jan	1	143.45388888888888	314	31	19.281436678614096
2021	Feb	2	118.17333333333333	243	28	17.58531746031746
2021	Mar	3	94.85027777777778	184	31	12.748693249701315
2021	Apr	4	63.735	134	30	8.852083333333333
2021	May	5	41.529722222222226	87	31	5.581951911589009
2021	Jun	6	0	0	30	0
2021	Jul	7	0.0030555555555555557	1	31	4.106929510155317e-4
2021	Aug	8	0	0	31	0
2021	Sep	9	0.3475	1	30	0.048263888888888884
2021	Oct	10	28.520833333333332	67	31	3.833445340501792
2021	Nov	11	79.64944444444444	170	30	11.062422839506173
2021	Dec	12	66.91277777777778	149	31	8.993652927120669
2022	Jan	1	117.34722222222223	206	31	15.772476105137395
2022	Feb	2	83.49722222222222	158	28	12.425181878306878
2022	Mar	3	63.4375	138	31	8.526545698924732
2022	Apr	4	34.154444444444444	79	30	4.743672839506173
2022	May	5	2.7127777777777777	8	31	0.3646206690561529
2022	Jun	6	0.26555555555555554	1	30	0.036882716049382716
2022	Jul	7	0	0	31	0
2022	Aug	8	0.0033333333333333335	1	31	4.4802867383512545e-4
2022	Sep	9	0.01638888888888889	1	30	0.002276234567901235
2022	Oct	10	0	0	31	0
2022	Nov	11	40.99805555555555	73	30	5.6941743827160485
2022	Dec	12	163.8047222222222	168	31	22.016763739545997
2023	Jan	1	161.53	188	31	21.711021505376344
2023	Feb	2	121.38833333333334	148	28	18.06374007936508
2023	Mar	3	109.45833333333333	137	31	14.71214157706093
2023	Apr	4	56.79694444444444	83	30	7.888464506172839
2023	May	5	1.1888888888888889	3	31	0.15979689366786143
2023	Jun	6	0.5063888888888889	2	30	0.07033179012345679
2023	Jul	7	0.0033333333333333335	1	31	4.4802867383512545e-4
2023	Aug	8	0	0	31	0
2023	Sep	9	0	0	30	0
2023	Oct	10	13.065277777777778	34	31	1.7560857228195936
2023	Nov	11	57.76722222222222	126	30	8.023225308641974
2023	Dec	12	66.53222222222222	147	31	8.942502986857825
2024	Jan	1	105.09305555555555	244	31	14.125410692951016
2024	Feb	2	56.814166666666665	148	29	8.162954980842912
2024	Mar	3	58.25805555555556	138	31	7.830383811230586
2024	Apr	4	31.852222222222224	87	30	4.4239197530864205
2024	May	5	3.548888888888889	11	31	0.4770011947431302
2024	Jun	6	0	0	30	0
2024	Jul	7	0	0	31	0
2024	Aug	8	0	0	31	0
2024	Sep	9	0.04888888888888889	1	30	0.006790123456790123
2024	Oct	10	11.464722222222221	32	31	1.5409572879330944
2024	Nov	11	47.110277777777775	121	30	6.543094135802469
2024	Dec	12	58.844722222222224	161	31	7.909236857825568
2025	Jan	1	91.56333333333333	243	31	12.306899641577061
2025	Feb	2	68.51138888888889	196	28	10.195147156084657
2025	Mar	3	47.26833333333333	159	31	6.353270609318996
2025	Apr	4	15.575833333333334	59	30	2.163310185185185
2025	May	5	0	0	31	0
2025	Jun	6	0	0	30	0
2025	Jul	7	0	0	31	0
2025	Aug	8	0	0	31	0
2025	Sep	9	0	0	30	0
2025	Oct	10	8.227222222222222	31	31	1.1058094384707289
2025	Nov	11	41.36527777777778	125	30	5.745177469135802
2025	Dec	12	62.08166666666666	185	31	8.344310035842293
